CountryName,CountryCode,IndicatorName,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Nepal,NPL,Prevalence of underweight,,,,,,,,,,60.7999992371,,,,,,,,,,,,,,,,,,,,44.0999984741,42.9000015259,,38.2000007629,,,43,,,,,38.7999992371,,,,,29.1000003815,,,
Netherlands,NLD,Prevalence of underweight,,,,,,,,,,,,,,,1.6000000238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,NCL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,Prevalence of underweight,,,,,,,,,,,,,,,,,8.6999998093,,,,,,,,,,,9.6000003815,,,,,10.3000001907,,,7.8000001907,,,4.3000001907,,5.6999998093,,,,,,,,
Niger,NER,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,45,,,,,,,41,,,,,,45,,43.5999984741,,,,,,39.9000015259,,,,,,37.9000015259,,
Nigeria,NGA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,35.0999984741,,,35.0999984741,,,,,,27.2999992371,,,,27.2000007629,,,,25.7000007629,26.7000007629,,,24.3999996185,,31,19.7999992371
Northern Mariana Islands,MNP,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,21.3999996185,,,10,,,,,11.3000001907,,,,,,,,,,8.6000003815,,,,,
Pakistan,PAK,Prevalence of underweight,,,,,,,,,,,,48.2999992371,,,,,,,,,44.4000015259,,,,,39,,,35.2999992371,34.2000007629,,,,,,31.2999992371,,,,,,,,,,30.8999996185,31.6000003815,,
Palau,PLW,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,Prevalence of underweight,,,,,,,,,,,,,,,11.6999998093,,,,,,,,,,,,,,,,,6.3000001907,,,,,,5.0999999046,,,,,3.9000000954,,,,,,
Papua New Guinea,PNG,Prevalence of underweight,,,,,,,,,,,,,,,,,,24.6000003815,,,,,,,,,,,,,,,,,,,,,,18.1000003815,,,,,,27.8999996185,,,
